"quarter","latest_vintage_date","gdp_growth_latest","recession_latest","ciss_latest","pmi_latest","ciss_last_date_latest","pmi_last_release_date_latest","pmi_months_available_latest","prob_recession_latest","lower_95_latest","upper_95_latest","real_time_vintage_date","real_time_release_round","days_after_quarter_end","gdp_growth_real_time","recession_real_time","ciss_real_time","pmi_real_time","ciss_last_date_real_time","pmi_last_release_date_real_time","pmi_months_available_real_time","training_observations_real_time","training_recessions_real_time","prob_recession_real_time","lower_95_real_time","upper_95_real_time","growth_revision","classification_revised","probability_revision","absolute_probability_revision"
"2015-Q3",2026-05-13,0.430324989385267,0,0.237167245956238,53.9333333333333,2015-09-30,2015-09-26,3,0.0136943666563034,0.0010918611311691,0.0488578047588466,2015-11-13,1,44,0.297431404824255,0,0.237167245956238,53.9333333333333,2015-09-30,2015-09-26,3,68,10,0.0122500001386641,0.000412329122904176,0.056570972798914,0.132893584561011,FALSE,0.00144436651763932,0.00144436651763932
"2015-Q4",2026-05-13,0.491151883917373,0,0.221323201714759,54.1333333333333,2015-12-31,2015-12-26,3,0.0122678957272294,0.000962174693523674,0.0444980591767636,2016-02-12,1,43,0.266994092463779,0,0.221323201714759,54.1333333333333,2015-12-31,2015-12-26,3,69,11,0.013723054235659,0.000432014572589237,0.0588487913205576,0.224157791453594,FALSE,-0.00145515850842961,0.00145515850842961
"2016-Q1",2026-05-13,0.479210045123035,0,0.27328894299173,53.2333333333333,2016-03-31,2016-03-26,3,0.0197334703707293,0.00188820696827165,0.0645030730064656,2016-04-29,1,29,0.550439179495776,0,0.27328894299173,53.2333333333333,2016-03-31,2016-03-26,3,70,11,0.0355886547149932,0.00178107228168609,0.126538141813995,-0.0712291343727411,FALSE,-0.0158551843442639,0.0158551843442639
"2016-Q2",2026-05-13,0.191990049438551,0,0.210287844889508,53.0666666666667,2016-06-30,2016-06-26,3,0.0197524493220728,0.0023965738012168,0.0603791361360333,2016-07-29,1,29,0.288880405335501,0,0.210287844889508,53.0666666666667,2016-06-30,2016-06-26,3,71,9,0.0160793291722527,0.000969316913826222,0.0626698412549909,-0.0968903558969503,FALSE,0.00367312014982002,0.00367312014982002
"2016-Q3",2026-05-13,0.481545342098788,0,0.245755884140925,52.9,2016-09-30,2016-09-26,3,0.0222124405321137,0.00259511571802677,0.0682026648037945,2016-10-31,1,31,0.340655549385027,0,0.245755884140925,52.9,2016-09-30,2016-09-26,3,72,9,0.0196204871364491,0.00146063553549116,0.0704288808980338,0.140889792713761,FALSE,0.00259195339566461,0.00259195339566461
"2016-Q4",2026-05-13,0.766637459812269,0,0.165204716101735,53.8666666666667,2016-12-30,2016-12-26,3,0.0130287820498303,0.00125658485977966,0.0436319877963888,2017-01-31,1,31,0.500806818359889,0,0.165204716101735,53.8666666666667,2016-12-30,2016-12-26,3,73,9,0.00999567185191613,0.000348768220207859,0.042570502348932,0.26583064145238,FALSE,0.00303311019791416,0.00303311019791416
"2017-Q1",2026-05-13,0.80964268302306,0,0.0922248121054968,55.6,2017-03-31,2017-03-26,3,0.00559585690896233,0.0002650884512802,0.0241188964724954,2017-05-03,1,33,0.455026922190727,0,0.0922248121054968,55.6,2017-03-31,2017-03-26,3,74,9,0.00292879415927958,2.88324784547577e-05,0.0156445716603981,0.354615760832333,FALSE,0.00266706274968275,0.00266706274968275
"2017-Q2",2026-05-13,0.662623624496916,0,0.0368645976749952,56.6333333333333,2017-06-30,2017-06-26,3,0.00342561635066761,0.000101624215675499,0.0168115333815434,2017-08-01,1,32,0.561155338791841,0,0.0368645976749952,56.6333333333333,2017-06-30,2017-06-26,3,75,9,0.0015027590446194,8.09294945563553e-06,0.00934070622068961,0.101468285705075,FALSE,0.00192285730604821,0.00192285730604821
"2017-Q3",2026-05-13,0.732711194222113,0,0.0069620055242479,56.0333333333333,2017-09-29,2017-09-26,3,0.0043789310907997,0.000169955143354473,0.0194400020043647,2017-10-31,1,31,0.584607521374814,0,0.0069620055242479,56.0333333333333,2017-09-29,2017-09-26,3,76,9,0.00227451383765054,1.60916626941745e-05,0.0115460315550172,0.1481036728473,FALSE,0.00210441725314917,0.00210441725314917
"2017-Q4",2026-05-13,0.814408622685425,0,0.00476465518677911,57.2,2017-12-29,2017-12-26,3,0.00263501276289783,6.19750552446903e-05,0.0137137931655982,2018-01-30,1,30,0.561548325834749,0,0.00476465518677911,57.2,2017-12-29,2017-12-26,3,77,9,0.00108908940487523,3.38543014660255e-06,0.00629919187605399,0.252860296850677,FALSE,0.00154592335802261,0.00154592335802261
