"quarter","latest_vintage_date","gdp_growth_latest","recession_latest","ciss_latest","esi_latest","ciss_last_date_latest","esi_last_release_date_latest","esi_months_available_latest","prob_recession_latest","lower_95_latest","upper_95_latest"
"2009-Q4",2026-05-13,0.443551936290976,0,0.334576736398091,90.5333333333333,2009-12-31,2009-12-29,3,0.240797262896255,0.10494879015779,0.428104948411276
"2010-Q1",2026-05-13,0.390780800145829,0,0.203744641986708,93.5,2010-03-31,2010-03-29,3,0.129402450593767,0.0561120320740437,0.235329989595291
"2010-Q2",2026-05-13,0.930919346442005,0,0.392883117665418,97.3666666666667,2010-06-30,2010-06-29,3,0.105244409238091,0.0240680739730511,0.253785943595201
"2010-Q3",2026-05-13,0.443693431571379,0,0.399729474237953,100.4,2010-09-30,2010-09-29,3,0.070394062534989,0.0116801543273421,0.198017689054815
"2010-Q4",2026-05-13,0.593409783269339,0,0.308535515839103,102.7,2010-12-31,2010-12-29,3,0.0407832276132735,0.00645540713578197,0.113894334873861
"2011-Q1",2026-05-13,0.950557519376805,0,0.20429687961146,103.333333333333,2011-03-31,2011-03-29,3,0.0294162772530114,0.00535993913348188,0.0769789966820166
"2011-Q2",2026-05-13,-0.00764652222046136,0,0.278044127154962,102.1,2011-06-30,2011-06-29,3,0.0413025434080903,0.00764645115672358,0.108490894989329
"2011-Q3",2026-05-13,0.0174284962289661,0,0.524842434612725,97.1333333333333,2011-09-30,2011-09-29,3,0.146445966182816,0.0201275799617995,0.416500625505291
"2011-Q4",2026-05-13,-0.303422579782575,0,0.585703317751044,92.6,2011-12-30,2011-12-29,3,0.278765645597871,0.0498916990817215,0.652960290966145
"2012-Q1",2026-05-13,-0.243215715865075,1,0.372439248409914,91.9666666666667,2012-03-30,2012-03-29,3,0.21174226762268,0.0798807881845155,0.405404963353056
"2012-Q2",2026-05-13,-0.360696204036137,1,0.313818035781563,90.4333333333333,2012-06-29,2012-06-29,3,0.236648415119312,0.106955025017921,0.414896410144368
"2012-Q3",2026-05-13,-0.131097702904115,1,0.287867321451241,86.9333333333333,2012-09-28,2012-09-29,3,0.350966820324757,0.159974619679714,0.6073561429334
"2012-Q4",2026-05-13,-0.431458190722533,1,0.0984904237116712,85.7666666666667,2012-12-31,2012-12-29,3,0.329770700336015,0.0983147057501324,0.660843412639451
"2013-Q1",2026-05-13,-0.329924536945136,1,0.0838136550334725,88.4666666666667,2013-03-29,2013-03-29,3,0.232991167247793,0.0700392597850246,0.500843577826105
"2013-Q2",2026-05-13,0.655145462189743,0,0.067058705130833,88.6333333333333,2013-06-28,2013-06-29,3,0.224172647294794,0.0644235403974571,0.493751447723255
"2013-Q3",2026-05-13,0.296362390799332,0,0.0374661467073727,93.1666666666667,2013-09-30,2013-09-29,3,0.110886590376315,0.0321019291453913,0.251396849120866
"2013-Q4",2026-05-13,0.208465102177469,0,0.0146982261394656,96.7666666666667,2013-12-31,2013-12-29,3,0.0606299702088333,0.0157943370574282,0.146649140331041
"2014-Q1",2026-05-13,0.469194710234899,0,0.0168473033687474,99.2333333333333,2014-03-31,2014-03-29,3,0.0407444939619206,0.00985671700484542,0.10018744131639
"2014-Q2",2026-05-13,0.23486334231877,0,0.00474048524064456,99.4,2014-06-30,2014-06-29,3,0.0391422563466899,0.00905375467518932,0.0995124323800383
"2014-Q3",2026-05-13,0.486307050416857,0,0.0129784056448137,97.8666666666667,2014-09-30,2014-09-29,3,0.0506067334336689,0.0130146462715629,0.126434488630047
"2014-Q4",2026-05-13,0.37553206797718,0,0.0232098560842145,97.8333333333333,2014-12-31,2014-12-29,3,0.0514371177695137,0.0137799179161431,0.125936913813571
"2015-Q1",2026-05-13,0.7545053724757,0,0.0873537673818193,101.333333333333,2015-03-31,2015-03-29,3,0.0321073456075786,0.00753662657755777,0.0757613625963132
"2015-Q2",2026-05-13,0.422057492505568,0,0.120130703562686,103.166666666667,2015-06-30,2015-06-29,3,0.0256465689692119,0.0052827177080208,0.0649338276717705
"2015-Q3",2026-05-13,0.430324989385267,0,0.237167245956238,103.666666666667,2015-09-30,2015-09-29,3,0.0301117897345319,0.00501676649762179,0.0828179525840941
"2015-Q4",2026-05-13,0.491151883917373,0,0.221323201714759,105.033333333333,2015-12-31,2015-12-29,3,0.0239552716440444,0.00343904520600946,0.0686064121349182
"2016-Q1",2026-05-13,0.479210045123035,0,0.27328894299173,104.233333333333,2016-03-31,2016-03-29,3,0.0302306512080109,0.00428167290610131,0.0886014128792044
"2016-Q2",2026-05-13,0.191990049438551,0,0.210287844889508,104.2,2016-06-30,2016-06-29,3,0.0263073229416497,0.00433599282627964,0.0722946734377827
"2016-Q3",2026-05-13,0.481545342098788,0,0.245755884140925,104,2016-09-30,2016-09-29,3,0.0292856714975252,0.00465821574767143,0.0823577065552902
"2016-Q4",2026-05-13,0.766637459812269,0,0.165204716101735,106.633333333333,2016-12-30,2016-12-29,3,0.0169412450105079,0.00208736718891233,0.0501241856301729
"2017-Q1",2026-05-13,0.80964268302306,0,0.0922248121054968,108.5,2017-03-31,2017-03-29,3,0.0112834959292114,0.00116242257432866,0.0369663157138164
"2017-Q2",2026-05-13,0.662623624496916,0,0.0368645976749952,110.333333333333,2017-06-30,2017-06-29,3,0.00791247131864217,0.000647224345639473,0.0286731322175379
"2017-Q3",2026-05-13,0.732711194222113,0,0.0069620055242479,112.3,2017-09-29,2017-09-29,3,0.00574184493744206,0.000342020692532652,0.0225032370928065
"2017-Q4",2026-05-13,0.814408622685425,0,0.00476465518677911,114.9,2017-12-29,2017-12-29,3,0.00404746385175591,0.000161633290620649,0.0182833433864246
"2018-Q1",2026-05-13,0.0409127033575984,0,0.0145863623524315,114.1,2018-03-30,2018-03-29,3,0.00457510163569907,0.000206456717212572,0.0198059855198073
"2018-Q2",2026-05-13,0.511935479532455,0,0.0306091998780336,112.433333333333,2018-06-29,2018-06-29,3,0.0058774318149734,0.00035021518716316,0.0239750566653169
"2018-Q3",2026-05-13,0.0768201563595916,0,0.019197643504814,111.033333333333,2018-09-28,2018-09-29,3,0.00696983322293576,0.000502285969653609,0.0260985019729085
"2018-Q4",2026-05-13,0.541002191115769,0,0.124687573670441,110.1,2018-12-31,2018-12-29,3,0.0096621476692278,0.000732321548265047,0.0342060064365268
"2019-Q1",2026-05-13,0.721903869166884,0,0.0959534018788262,106.933333333333,2019-03-29,2019-03-29,3,0.0141741768329227,0.0018063009271809,0.0426971676018469
"2019-Q2",2026-05-13,0.361133978430539,0,0.0465073686265079,104.7,2019-06-28,2019-06-29,3,0.0180927567090575,0.00295445784760054,0.0507377133060424
"2019-Q3",2026-05-13,0.188424563355749,0,0.0792486793602793,102.633333333333,2019-09-30,2019-09-29,3,0.0259851108490159,0.00547615137824108,0.0647630841814344
"2019-Q4",2026-05-13,-0.103895401027032,0,0.046583504402364,102.8,2019-12-31,2019-12-29,3,0.0241357373826404,0.00465100990244663,0.0623286801972195
"2020-Q1",2026-05-13,-3.24586191620465,1,0.196366270620557,101.433333333333,2020-03-31,2020-03-29,3,0.0382342672636683,0.00865015613884255,0.0889779980431185
"2020-Q2",2026-05-13,-11.118349956249,1,0.364817182414894,65.1,2020-06-30,2020-06-29,3,0.925282359086288,0.649911152225153,0.998826618605979
"2020-Q3",2026-05-13,11.5443874576422,0,0.129628417262068,89.3333333333333,2020-09-30,2020-09-29,3,0.216951092949972,0.0762304292494592,0.437041209469933
"2020-Q4",2026-05-13,0.368425706605358,0,0.0714432832442825,94.7,2020-12-31,2020-12-29,3,0.0899797550698338,0.029436054581389,0.197326807801801
"2021-Q1",2026-05-13,0.79500805191739,0,0.013114292003486,99.0333333333333,2021-03-31,2021-03-29,3,0.0419046724108222,0.0101133386746103,0.103951439105073
"2021-Q2",2026-05-13,2.16055931954549,0,0.0103871337135271,111.366666666667,2021-06-30,2021-06-29,3,0.00655974006124035,0.000449523465816788,0.0251128282053254
"2021-Q3",2026-05-13,1.75630263242683,0,0.0100009464953598,118.9,2021-09-30,2021-09-29,3,0.00246529277847782,4.94763538661224e-05,0.0127238740029065
"2021-Q4",2026-05-13,0.807341984242638,0,0.0455117277858434,117.733333333333,2021-12-31,2021-12-29,3,0.00305865532338267,7.3180958678943e-05,0.0151798020447613
"2022-Q1",2026-05-13,0.748329111430546,0,0.171451493056781,111.866666666667,2022-03-31,2022-03-29,3,0.00848899695531471,0.000479934142498664,0.0331950618503272
